Date,comment,category,level
04/07/2021,আইনের সঠিক প্রয়োগের পাশাপাশি শিশু ধর্ষণ প্রতিরোধে দরকার ব্যাপক সচেতনতা৷,positive,0
04/07/2021,বাল্যবিবাহের শাস্তি দু'বছরের কারাদণ্ড করারও সিদ্ধান্ত নিয়েছে সরকার৷,neutral,2
04/07/2021,বিশ্বে প্রতি দুই সেকেন্ডে ১৮ বছরের কমবয়সি এক মেয়ের বিয়ে হচ্ছে ৷,negative,1
04/07/2021,বাংলাদেশ এবং নাইজারের সত্তর শতাংশ মেয়ের বিয়ে হয় তাদের বয়স ১৮ বছর পার হওয়ার আগেই ৷,negative,1
04/07/2021,কোভিড-১৯ এর কারণে অতিরিক্ত ১ কোটি মেয়ে শিশুবিয়ের ঝুঁকিতে রয়েছে,negative,1
04/07/2021,"মহামারির কারণে স্কুল বন্ধ থাকা, অর্থনৈতিক চাপ, সেবা বিঘ্নিত হওয়া, গর্ভাবস্থা এবং বাবা-মায়ের মৃত্যুজনিত ঘটনা সবচেয়ে ঝুঁকির মুখে থাকা মেয়েদের শিশুবিয়ের ক্রমবর্ধমান ঝুঁকির দিকে ঠেলে দিচ্ছে।",negative,1
04/07/2021,লাখ লাখ মেয়েশিশু যে কঠিন পরিস্থিতি মোকাবিলা করছে তা আরও জটিল করে তুলেছে কোভিড-১৯।,negative,1
04/07/2021,"স্কুল বন্ধ থাকায়, বন্ধুবান্ধব এবং সহায়তা কার্যক্রম থেকে বিচ্ছিন্ন থাকায় এবং ক্রমবর্ধমান দারিদ্র্য মেয়েদের শিশুবিয়ের ঝুঁকি বাড়িয়ে দিয়েছে ।",negative,1
04/07/2021,শিশুবিয়ে অল্প বয়সে এবং অপরিকল্পিত গর্ভাবস্থার ঝুঁকি বাড়ায় এবং ফলস্বরূপ প্রসূতির স্বাস্থ্যগত জটিলতা ও মৃত্যুঝুঁকি বাড়ায়।,negative,1
04/07/2021,"শিশুবিয়ে মেয়েদের পরিবার ও বন্ধবান্ধব থেকে বিচ্ছিন্ন করে দিতে এবং তাদের নিজ কমিউনিটিতে অংশগ্রহণে বাধা হয়ে দাঁড়াতে পারে, যা তাদের মানসিক স্বাস্থ্য ও সার্বিক কল্যাণের ক্ষেত্রে ব্যাপক ক্ষতিসাধন করে।",negative,1
04/07/2021,কাজ হারানো এবং বর্ধিত অর্থনৈতিক নিরাপত্তাহীনতার কারণে আর্থিক ভার লাঘব করতে পরিবারগুলোকে তাদের মেয়েদের বিয়ে দিয়ে দিতে বাধ্য করে তুলতে পারে।,negative,1
04/07/2021,বাবা-মায়েরা যাতে তাদের শিশুদের জন্য পুষ্টি সেবা গ্রহণ অব্যাহত রাখতে পারে তা নিশ্চিত করতে ইউনিসেফ বাংলাদেশ সরকারকে সহায়তা দিতে প্রতিশ্রুতিবদ্ধ,positive,0
04/07/2021,"পিতামাতারা, যুক্তিযুক্তভাবে, তাদের সন্তানের চরিত্র গঠনে সবচেয়ে বড় ভূমিকা পালন করেন এবং বাচ্চা বড় হওয়ার সাথে সাথে জীবনে সে কিরকম মানুষ হয়ে উঠবে তার উপর সর্বাধিক প্রভাব ফেলেন।",positive,0
04/07/2021,"অল্প বয়সেই বাচ্চাদের মূল্যবোধ শেখানো ভাল, যাতে তারা বড় হওয়ার সাথে সাথে সেগুলি তাদের ব্যক্তিত্বের অংশ হয়ে যায়।",positive,0
04/07/2021,"শিশুরা আশেপাশের লোকদের কাছ থেকে শেখে, তাই আপনার বাচ্চাদের ভাল মূল্যবোধ শেখানোর জন্য আপনাকে প্রথমে সেগুলিকে আপনার নিজের জীবনে মডেল করতে হবে।",positive,0
04/07/2021,"ব্যক্তিগত অভিজ্ঞতা গল্পের মতো হয় এবং সমস্ত বাচ্চারা গল্প শুনতে পছন্দ করে। আপনার নিজের জীবন থেকে গল্প বাচ্চার সাথে শেয়ার করুন, যেখানে নৈতিক মূল্যবোধ মেনে চলার ফলে আপনার জীবনে ইতিবাচক অভিজ্ঞতা হয়েছিল এবং এইভাবে আপনার শিশু আরও ভালভাবে বুঝতে বাধ্য।",positive,0
04/07/2021,প্রশংসা এবং পুরষ্কার হ’ল ইতিবাচক শক্তিবৃদ্ধি যা শিশুদের গঠনে অবিশ্বাস্যভাবে ভাল কাজ করে।,positive,0
04/07/2021,অনেক বাবা-মা তাদের বাচ্চাদের কেবল বড়দের শ্রদ্ধা করতে শেখান,negative,1
04/07/2021,"বাচ্চাদের জেনে রাখা জরুরী যে সবকিছু তাদের ইচ্ছা অনুযায়ী কাজ করে না। অল্প বয়স থেকেই তাদের শেখান যে যখন খুব প্রয়োজন হয়, তখন তাদের মানিয়ে নেওয়ার চেষ্টা করতে হতে পারে।",positive,0
04/07/2021,"শিশুকে অবশ্যই অল্প বয়স থেকে অন্যকে সহায়তা করতে শেখানো উচিত, এমনকি সম্পূর্ণ অপরিচিত মানুষকেও।",positive,0
04/07/2021,প্রত্যেক ব্যক্তিরই নিজের ধর্ম বেছে নেওয়ার অধিকার রয়েছে।,positive,0
04/07/2021,অন্যায় কাজ দেখে সেটির বিষয়ে কথা বলতে সর্বদা উৎসাহিত করবেন্,positive,0
04/07/2021,সততা সর্বাধিক গুরুত্বপূর্ণ মূল্যবোধ,positive,0
04/07/2021,"চুরি করা অন্যায়, এটি করার পিছনে যুক্তি যাই থাকুক না কেন",positive,0
04/07/2021,ধৈর্য্য ধরে রাখা একটা ভালো শিষ্টাচার।,positive,0
04/07/2021,ক্রাইম পেট্রল দেখে' বন্ধুকে হত্যার চেষ্টা,negative,0
04/07/2021,বেশি বেশি চাইলেই লক্ষ্যে পৌঁছানো যায়,positive,0
04/07/2021,অপর ব্যক্তি যখন কথা বলেন তখন তা চুপ করে শোনা প্রয়োজন।,positive,0
04/07/2021,বয়স্কদের প্রতি শ্রদ্ধা প্রদর্শন করা উচিত,positive,0
04/07/2021,কোনও ব্যক্তির দিকে আঙ্গুল তুলে বা ঈশারা করে কথা বলাটা হল অভদ্রতার পরিচয়।,positive,0
04/07/2021,অন্যান্য মানুষের আবেগের স্থানগুলি সম্পর্কে খেয়াল রাখা উচিত,positive,0
04/07/2021,প্রতিবন্ধী ব্যক্তিদের প্রতি সদয় হতে হবে,positive,0
04/07/2021,ভিক্ষুকদের সহায়তা করবে না,negative,1
04/07/2021,শিশুকে খেলাধুলা করতে দিন,positive,0
04/07/2021,শিশু তার আশেপাশের পরিবেশ থেকে নানা পরীক্ষা নিরীক্ষার মধ্য দিয়েই প্রকৃতির নানা নিয়ম কানুন শেখে,positive,0
04/07/2021,টিভি বিভিন্ন বিষয় সম্পর্কে বাচ্চাদের শিখতে সাহায্য করতে পারে,positive,0
04/07/2021,কিডস মিডিয়া নিয়ে আলোচনার মাধ্যমে বিশ্লেষণাত্মক দক্ষতা তৈরি করতে পারে,positive,0
04/07/2021,শিশুদের ঘুম বড়ই বিচিত্র বিষয়,neutral,2
04/07/2021,শিশু আল্লাহর দেওয়া শ্রেষ্ঠ নিয়ামত,positive,0
04/07/2021,শিশুরা পবিত্রতার প্রতীক,positive,0
04/07/2021,শৈশবেই মানুষের জীবনের গতিপথ নির্ধারিত হয়,positive,0
04/07/2021,শিশুদের নিরাপদে ও স্বাচ্ছন্দ্যে বেড়ে ওঠার জন্মগত অধিকার রয়েছে।,positive,0
04/07/2021,আমাদের সমাজে শিশুরা অহরহ নির্যাতনের শিকার হচ্ছে।,negative,1
04/07/2021,শিশুদের শারীরিক শাস্তি একটি সামাজিক ব্যাধি,negative,1
04/07/2021,আমাদের সমাজে অনেক শিশু শারীরিক ও মানসিক নির্যাতনের শিকার হচ্ছে।,negative,1
04/07/2021,ইসলামের বিধানগুলো যৌক্তিক ও মানবিক,positive,0
04/07/2021,"শিশুর সুনাগরিক হয়ে গড়ে ওঠার জন্য পিতা, মাতা, শিক্ষক ও অভিভাবকের সুশাসন অবশ্যই সহায়ক ভূমিকা পালন করে",positive,0
04/07/2021,সাধারণত শারীরিক শাস্তিটা পরিবারে ও শিক্ষাপ্রতিষ্ঠানেই বেশি হয়,negative,1
04/07/2021,টাকা যার শিক্ষা তাঁর' নীতিতে চলছে শিক্ষাব্যবস্থা,negative,1
04/07/2021,শিক্ষা এখন পণ্যে পরিণত হয়েছে,negative,1
04/07/2021,"যার কাছে টাকা আছে, সে-ই ভালো শিক্ষা পাবে",negative,1
04/07/2021,প্রতিবন্ধী শিশুদের জন্য গৃহিত অধিকাংশ উদ্যোগই বিশেষায়িত এবং আলাদা,positive,0
04/07/2021,প্রতিবন্ধী শিশুরা স্বাস্থ্যসেবা অথবা বিদ্যালয়ে যাওয়ার সবচেয়ে কম সুযোগ পায়।,negative,1
04/07/2021,প্রতিবন্ধীত্ব বাংলাদেশের অন্যতম প্রধান সামাজিক ও অর্থনৈতিক সমস্যা,negative,1
04/07/2021,শিক্ষা গ্রহণের ক্ষেত্রে প্রতিবন্ধী শিশুরা বাংলাদেশে সবচেয়ে নাজুক অবস্থানে রয়েছে,negative,1
04/07/2021,"বাংলাদেশের শিশুদের জন্য সুরক্ষা আইন, বিভিন্ন ধরনের ব্যবস্থা গ্রহণ এবং সেবার উন্নতির ক্ষেত্রে উল্লেখযোগ্য অগ্রগতি হয়েছে",positive,0
04/07/2021,সারা দেশে করোনার জন্য লকডাউন চলবে,positive,0
04/07/2021,"এক জন চিকিৎসকের দায়িত্ব শুধুমাত্র তাঁর রোগীর মধ্যেই সীমায়িত থাকে না, সার্বিক ভাবে সমাজের প্রতিও তাঁর সমান দায়িত্ব থেকে যায়",positive,0
04/07/2021,সহমর্মিতা ও সংবেদনশীলতার সঙ্গে এক জন রোগীকে উপযুক্ত পরিষেবা দেওয়াই চিকিৎসকের ধর্ম,positive,0
04/07/2021,অন্যায় থেকে ফিরে থাকা এবং সঠিক পথের অনুসারী হওয়া ঈমানের একান্ত দাবি,positive,0
04/07/2021,মোবাইল ফোনের নেশা নেই এমন বাচ্চা এখন হাতে গোনা।,negative,1
04/07/2021,"বাইরে গিয়ে খেলাধুলো নয়, খেলা বলতে শুধুই মোবাইলে হরেকরকম গেম খেলা",negative,1
04/07/2021,ভূতের ভাবনায় অনেকেই কুঁকড়ে যান ভয়ে,negative,1
04/07/2021,"শিশুস্বাস্থ্য, মাতৃস্বাস্থ্যে উন্নতির ফলে গড় আয়ু বাড়ে",positive,0
04/07/2021,"সম্প্রসারিত টিকাদান কর্মসূচির ফলে নিউমোনিয়া, টিটেনাস, ডিফথেরিয়ায় শিশুমৃত্যু কমে এসেছে।",positive,0
04/07/2021,স্যালাইনের ব্যবহার ডায়রিয়ায় মৃত্যু কমায়।,positive,0
04/07/2021,দেশের মানুষের প্রত্যাশিত গড় আয়ু এখন ৭২ বছর ৭ মাস।,positive,0
04/07/2021,সার্কভুক্ত দেশগুলোর মধ্যে গড় আয়ু সবচেয়ে বেশি মালদ্বীপের মানুষে,positive,0
04/07/2021,"মৌমাছি যেভাবে আলোকে দেখে, আমরা সেটা পারি না।",neutral,2
04/07/2021,পোলারাইজেশান বলতে আমরা আলোক তরঙ্গের তড়িৎক্ষেত্রের দিক বুঝি,neutral,2
04/07/2021,শিল্পীরা রগড়ে রগড়েই শিল্পী হন!,positive,0
04/07/2021,শুধু লেখাপড়ার জন্য চাপ না দিয়ে খেলাধুলা ও বিনোদনের মাধ্যমে শিশুর জীবনকে রঙিন করে তুলতে পারে,positive,0
04/07/2021,আজকের শিশু আমাদের আগামী দিনের ভবিষ্যৎ।,positive,0
04/07/2021,"প্রতিবছর বিশ্বের অর্ধেক শিশু (প্রায় ১০০ কোটি) শারীরিক, যৌন এবং মানসিক নির্যাতনের শিকার",negative,1
04/07/2021,প্রায় সব দেশেই (৮৮ শতাংশ) নির্যাতন থেকে শিশুদের রক্ষার জন্য আইন রয়েছে,positive,0
04/07/2021,"৩২ থেকে ৩৭ শতাংশ দেশ নির্যাতনের শিকার শিশুদের সেবা দেয়, এর মধ্যে বাংলাদেশও আছে",positive,0
04/07/2021,"কোভিড-১৯–এর সময় নারী ও শিশু নির্যাতন, সাইবার অপরাধ, পাচার বেড়েছে।",negative,1
04/07/2021,সব স্তরে একটি কার্যকর শিশু সুরক্ষাব্যবস্থা প্রতিষ্ঠা করা জরুরি,positive,0
04/07/2021,শিশুদের অধস্তন করে দেখার সামাজিক দৃষ্টিভঙ্গিতে পরিবর্তন আনা জরুরি,positive,0
04/07/2021,দেশব্যাপী শিশুদের সুরক্ষায় প্রথমবারের মতো ‘হেল্পলাইন ১০৯৮’ চালু করা হয়েছে।,positive,0
04/07/2021,গত ছয় মাসে ৫৭২টি শিশু যৌন নির্যাতনের শিকার হয়েছে।,negative,1
04/07/2021,"মৃতদের স্মরণ করো, জীবিতদের জন্য লড়াই করো",positive,0
04/07/2021,করোনাভাইরাস সংক্রমণের ৯১ শতাংশ শিশু ও তরুণ মানসিক চাপ ও শঙ্কার মধ্যে রয়েছে,negative,1
04/07/2021,করোনাভাইরাসের কারণে শিক্ষাপ্রতিষ্ঠান বন্ধ ও সামাজিক নিরাপত্তা কর্মসূচির সুবিধা হারিয়ে ফেলায় শিশু ও তরুণেরা অসমভাবে ক্ষতিগ্রস্ত হচ্ছে,negative,1
04/07/2021,করোনাভাইরাস শিশুদের ওপর নেতিবাচক প্রভাব ফেললেও তাদের কমিউনিটির মানুষদের সাহায্য করার ইচ্ছা বা ক্ষমতা কমাতে পারেনি।,positive,0
04/07/2021,অর্জনের পাশাপাশি স্বাস্থ্যে অনেক অন্যায্যতা আছে।,negative,1
04/07/2021,সরকারি স্বাস্থ্যসেবা প্রায় বিনা মূল্যে থেকে স্বল্প মূল্যে পাওয়া যায়,positive,0
04/07/2021,বাংলাদেশে শিশুস্বাস্থ্যের উন্নতিতে গুরুত্বপূর্ণ ভূমিকা রেখেছে সম্প্রসারিত টিকাদান কর্মসূচি (ইপিআই),positive,0
04/07/2021,মাতৃস্বাস্থ্য জরিপে শিশুমৃত্যু হার সবচেয়ে বেশি সিলেট বিভাগে,negative,1
04/07/2021,"শিশুস্বাস্থ্যের একটি গুরুত্বপূর্ণ সূচক পাঁচ বছরের কম বয়সী শিশুর উচ্চতা, ওজন",neutral,2
04/07/2021,দরিদ্র অবস্থা সব বয়সী মানুষের জন্য স্বাস্থ্যঝুঁকি তৈরি করে।,negative,1
04/07/2021,জনস্বাস্থ্যবিদ ও অর্থনীতিবিদেরা ধনী ও দরিদ্র পরিবারগুলোকে পাঁচটি শ্রেণিতে ভাগ করে পরিস্থিতি বিশ্লেষণের চেষ্টা করেন,positive,0
04/07/2021,"শুধু শিশু নয়, বৈষম্যের শিকার মায়েরাও।",negative,1
04/07/2021,দেশে উচ্চ রক্তচাপ ও ডায়াবেটিসের প্রকোপ বাড়ছে,negative,1
04/07/2021,উচ্চ রক্তচাপের এই প্রবণতা শহরে ও গ্রামে নারীদের মধ্যে বেশি,negative,1
04/07/2021,"নাগরিকের সুস্বাস্থ্যের অভাব দেশের উৎপাদনশীলতা কমে, কমে যায় উন্নয়নের গতি।",negative,1
04/07/2021,কোভিড মহামারি সমাজের বিভিন্ন জনগোষ্ঠ বিদ্যমান স্বাস্থ্যসেবার অসংখ্য বৈষম্য উদ্‌ঘাটন করতে গুরুত্বপূর্ণ ভূমিকা পালন করেছে,positive,0
04/07/2021,দুর্যোগের প্রভাবে শিশুদের মৃত্যু হয় প্রাপ্তবয়স্কদের তুলনায় অনেক বেশী ।,negative,1
04/07/2021,"নো মাস্ক, নো সার্ভিসের যুগ এটি।",neutral,2
04/07/2021,সার্কভুক্ত দেশগুলোর মধ্যে গড় আয়ু সবচেয়ে বেশি মালদ্বীপের মানুষের,neutral,2
04/07/2021,গ্রামের মানুষের স্বাস্থ্যসেবা নিশ্চিতের বড় একটি চ্যালেঞ্জ অনিয়ন্ত্রিত রক্তচাপ,negative,1
04/07/2021,"মাস্ক পরে যেকোনো সুস্থ সবল ব্যক্তির, নারী কিংবা পুরুষ, ব্যায়াম করতে কোনো সমস্যা হবে না",positive,0
04/07/2021,বাংলাদেশ সেনাবাহিনী বাংলাদেশ সশস্ত্র বাহিনীর স্থল শাখা,neutral,2
04/07/2021,সমরে আমরা শান্তিতে আমরা সর্বত্র আমরা দেশের তরে,positive,0
04/07/2021,সততা মানব চরিত্রের শ্রেষ্ঠ গুণ,positive,0
04/07/2021,বাংলাদেশ দক্ষিণ এশিয়ার একটি সার্বভৌম রাষ্ট্র।,neutral,2
04/07/2021,বাংলাদেশের সাংবিধানিক নাম গণপ্রজাতন্ত্রী বাংলাদেশ।,neutral,2
04/07/2021,বাংলাদেশ ভূখণ্ডের উপর দিয়ে বয়ে গেছে ৫৭টি আন্তর্জাতিক নদী।,neutral,2
04/07/2021,বাংলা ভাষা ও সাহিত্যের ঐতিহ্য হাজার বছরের বেশি পুরনো,neutral,2
04/07/2021,"বাংলাদেশের মানুষ পাকিস্তান, ভারত, নেপাল, ভুটান, আফগানিস্তানের মানুষের চেয়ে বেশি দিন বাঁচে।",positive,0
04/07/2021,বাংলাদেশে মোট প্রায় ২০০টি দৈনিক সংবাদপত্র ও ১৮০০টিও বেশি সাপ্তাহিক বা মাসিক পত্রিকা প্রকাশিত হয়,neutral,2
04/07/2021,স্বাধীনতার সময় একজন মা গড়ে ছয়টি সন্তানের জন্ম দিতেন,neutral,2
04/07/2021,বাংলাদেশের নারীদের প্রধান পোশাক শাড়ি,neutral,2
04/07/2021,বাংলাদেশে অনুষ্ঠিত উৎসবগুলোকে মূলত ধর্মীয় ও সর্বজনীন এই দুইটি ভাগে ভাগ করা যায়,positive,0
04/07/2021,বাংলাদেশের সর্বজনীন উৎসবের মধ্যে পহেলা বৈশাখপ্রধান।,neutral,2
04/07/2021,ভাষা আন্দোলনের শহীদদের স্মরণে ২১শে ফেব্রুয়ারি তারিখে শহীদ দিবস ঘটা করে পালিত হয়।,positive,0
04/07/2021,আগে এক হাজারের মধ্যে এক বছরে ১৯ জনের মৃত্যু হতো,negative,1
04/07/2021,বাংলাদেশ দক্ষিণ এশিয়ার একটি জনবহুল ও উন্নয়নশীল রাষ্ট্র,neutral,2
04/07/2021,এই বাংলার ইতিহাস অনেক গৌরবের এবং ত্যাগের ইতিহাস,positive,0
04/07/2021,"পুলিশ ছাড়াও, বিজিবি ও মাদকদ্রব্য নিয়ন্ত্রণ অধিদফতরও রাজধানীসহ দেশের বিভিন্ন স্থান থেকে প্রতিদিন উদ্ধার করছে গাঁজা ও ইয়াবা।",positive,0
04/07/2021,বাংলাদেশের প্রতিষ্ঠাতা শেখ মুজিবর রহমান স্বাধীনতার নামে একটা নাটক করে সফল হন,negative,1
04/07/2021,"গাড়ির ফুয়েল ট্যাংক থেকে সবজিভর্তি পিকআপ, কিছুই বাদ দিচ্ছে না মাদক কারবারিরা",negative,1
04/07/2021,চোরাকারবারিরা অভিনব সব কায়দায় রাজধানীসহ সারাদেশে ছড়িয়ে দিচ্ছে মাদক।,negative,1
04/07/2021,সাইলেন্সার কেটে গুঁজে রাখা হচ্ছে গাঁজার প্যাকেট।,neutral,2
04/07/2021,করোনার এ সময় রাজধানীতে বেড়েছে গাঁজার সরবরাহ,negative,1
04/07/2021,২০১০ খ্রিষ্টাব্দ থেকে সরকার মাধ্যমিক স্তর পর্যন্ত সকল ছাত্র-ছাত্রীকে বিনামূল্যে পাঠ্যপুস্তক সরবরাহ করে আসছে,positive,0
04/07/2021,রাজধানীতে বেশি বিক্রি হচ্ছে ইয়াবা ও গাঁজা,negative,1
04/07/2021,দারিদ্রপীড়িত বাংলাদেশে অপুষ্টি একটি দুরূহ সমস্যা যা স্বাস্থ্য খাতে ব্যাপকভাবে প্রভাব বিস্তার করেছে,negative,1
04/07/2021,অনেক বিবাহিত কিশোরী দৈহিক ও যৌন নির্যাতনের শিকার হয়,negative,1
04/07/2021,যে ছেলে বা মেয়ের বয়স ১৮ বছরের নিচে অবস্থান করছে সে শিশু হিসেবে চিহ্নিত।,positive,0
04/07/2021,মোট জনগোষ্ঠীর ২৬% অপুষ্টিতে ভুগছে।,negative,1
04/07/2021,ক্রমবর্ধমান জনসংখ্যা নিয়ন্ত্রণের লক্ষ্যে চীনা সরকার কিছু দম্পতির উপর এক-সন্তান নীতির প্রচলন করে,neutral,2
04/07/2021,শিক্ষার সুযোগ লাভ করা শিশুর অন্যতম মৌলিক অধিকার,positive,0
04/07/2021,"বিদ্যালয় হচ্ছে একটি প্রতিষ্ঠান বা সংগঠন, যা মূলত শিক্ষাদানের কেন্দ্র",positive,0
04/07/2021,সরকারীভাবে শহুরে বসবাসরত বিবাহিত দম্পতির জন্য একাধিক শিশু জন্মের উপর নিষেধাজ্ঞা আরোপ করা হয়,neutral,2
04/07/2021,বাংলাদেশ দক্ষিণ এশিয়ার একটি উন্নয়নশীল দেশ,positive,0
04/07/2021,ঝুঁকিপূর্ণ ও নিকৃষ্ট ধরনের শ্রমসহ বিভিন্ন ধরনের শ্রমে নিয়োজিত শিশুদের প্রত্যাহার করতে হবে,positive,0
04/07/2021,বাংলাদেশে অনেক দ্রুততার সাথে পাঁচ বছরের কম বয়সী শিশুদের মৃত্যু হার কমিয়ে আনতে সক্ষম,positive,0
04/07/2021,জন্ম থেকে আট বছর পৌঁছানোর মধ্যের সময়টুকু শিশুর মস্তিষ্কের বিকাশের জন্য খুব গুরুত্বপূর্ণ,positive,0
04/07/2021,প্রশিক্ষণের অভাবে ছোট শিশুদের মধ্যে প্রতিবন্ধীতা সনাক্ত করতে পারেননা অনেক চিকিৎসক,negative,1
04/07/2021,বাংলাদেশে প্রাথমিক স্কুল পার করে মাধ্যমিক বিদ্যালয়েপৌঁছানোর হার প্রশংসনীয়,positive,0
04/07/2021,বাংলাদেশে বাল্যবিবাহের হার আগের তুলনায় কমেছে,positive,0
04/07/2021,ঢাকায় লকডাউনের প্রথম তিনদিন,neutral,2
04/07/2021,শিশু বা শিশু অপরাধীদের নিয়ে গণমাধ্যমের প্রতিবেদনগুলোতে সংবেদনশীলতার অভাব আছে,negative,1
04/07/2021,শিশু অধিকার সম্পর্কে সচেতনতা বৃদ্ধি একটি বড় চ্যালেঞ্জ।,negative,1
