Text,Label
কালার গ্রেডিং ভালো হয়নি। নীল কালারটা বেশি চোখে লাগতেছে।,2
"আরে এ দেখি আবাল বিচারক,,ওই অভিনয়ের কি জানে।",2
খুব সুন্দর হয়েছে সিরিজ,1
"খুব সুন্দর একটা সিরিজ,,, এই সিরিজে টুইস্ট আছে মনে হচ্ছে",1
পুলিশ খালি মজা করে!,0
যা তুমি নিজে করো না বা করতে পারো না তা অন্যকে উপদেশ দিও না ।,0
অভিনয় কতটা ফালতু হতে পারে ফাহমির এই সিরিজ না দেখলে বুজতে পারতাম না। জগণ্য বাজে অভিনয় করছে ফাওমি,2
"বালের সিরিজ,, একই ঘটনা কয়েকবার দেখায়াই লম্বা করা,,",2
কি প্ল্যান করলো আর হলো কি!,0
"সমাজে এভাবেই অনেক ভালো মানুষ হারিয়ে যায়, আর খারাপ মানুষ গুলো জিতে যায়।",0
অভ্যাসকে জয় করাই পরম বিজয় । — হযরত আলী (রাঃ),0
ফাহমির চেয়ে টিকটকার পোলাপাইন ভালো ডিরেকশন দেয় এবং অভিনয় করে,2
ফাহমির অভিনয় চমৎকার হয়েছে,1
অনেক দিন পর ফাহমি ভাইরে দেখলাম,0
টাইম নষ্ট করলাম ফালতু কোন কিছুর আগা মাথা ঠিক নাই,2
"সুন্দর হয়েছে সিরিজটি, প্রতিদিন ১ টা পর্ব চাই",1
বাংলাদেশের চেয়ে টালিগঞ্জ এর ওয়েবসিরিজ এ অভিনয় অনেক অনেক এগিয়ে।,2
"নাটক বাংলাদেশের প্রেক্ষাগৃহে চলে,খুব ভালো",0
"ওরে চিটার, ভিতর থেকে অনেক গালি বাহির হয়ে আসছিলো কিন্তু বললাম না,,",0
রিপোর্ট দেওয়ার অনেক চেষ্টা করলাম কিন্তু পারলাম না,2
সবাই রিপোর্ট মারেন,2
হালাই কামড়া করলো কী । টেইলর আর নাটকে কোন মিল নাই,2
এতো বাজে তুর চ্যানেল এক সিনেমা আর একটা বলে চালায় দেস রিপোর্ট মারা দরকার তুর চ্যানেল,2
একটা বাজে জিনিস সময়টাই লস হইলো,2
"খুবই বাজে ভাষায় কিছু কথা বেড়িয়ে আসছিলো ভেতর থেকে, কিন্তু সামাজিকতা চিন্তা করে আর বলতে বা লিখতে পারলাম না, ফাউল কোথাকার।",2
"বাংলাদেশে এধরনের কাজ, অবিশ্বাস্য... এই ধরনের কাজ হলে বাংলাদেশের সিনেমা আবার গুড়ে দাঁড়াবে....",1
সব জাত অভিনেতা একসাথে তারমধ্যে টাইটেল গানটা তুহিন ভাইয়ের অসাধারণ কিছু আসতে চলেছে ️,1
"অনেক সুন্দর, বাংলাদেশের সিরিজ গুলাই হইচই টারে পর্ণ সাইট হওয়া থেকে বাচাইসে।️🇧🇩",1
"ছেঁড়াদিয়া, এখানে সাহস ভাঁজ করে আলমারিতে রেখে দিতে হয়...",0
"প্রথমে ""মন্দার"" এখন, ""বলি"", Hoichoi is on fire. এবার বৌদি একটু বাদ দিন, ভালো content তো আসছেই।",1
"খুবই ভাল সিনেমা,,, পারিবারিকভাবে দেখার মত সিনেমা",1
"প্রতিটি দিন বেঁচে থাকার জন্য একটি ভাল দিন, সূর্যের আলো হোক বা না হোক",0
কম বেশি সব ভালো ভালো অভিনয় শিল্পী। অবশ্যই দেখবো। সকল টিম মেম্বারদের জন্য শুভকামনা রইল।,1
বাংলাদেশের ওয়েব সিরিজগুলো আন্তর্জাতিক মানের হয়।🇧🇩,1
মন জয় করে ফেলল,0
অনেকদিন পর একটা মনের মতো বাংলা সিনেমার ট্রেইলর পেলাম,1
বাংলার জাত অভিনেতা সব একসাথে গানটা তুহিন ভাইয়ের ️ সব মিলিয়ে ফাটাফাটি হবে,1
জাস্ট আগুন,1
মুইছা ফালামু,0
কাপায় দিবে মনে হচ্ছে।,1
"নাহ,আর পারলাম না। এরা দেখছি আমাকে hoichoi install করিয়েই ছারবে!",1
"অভিনয় গুলো অসাধারণ,,",1
"সব কিছুই অসাধারণ, তার সাথে তুহিন ভাই এর গান",1
বৌদিবাজ হইচই কে আলোর পথে আনার জন‍্য আমদের গুরুরা এগিয়ে গিয়েছে 😅🌼,2
তুর্কি ঐতিহাসিক সিরিজ গুলো বাংলা ডাবিং করার জন্য অনুরোধ করছি।,1
এমন একটা সংসার আমার হবে ইনশাআল্লাহ,1
নিষিদ্ধ ফল সিরিজে download অপশন দিন দয়া করে,1
